row_id,pattern_id,confidence,source_phrase,method
7,personalization,0.4,analyzes 3-month spending behavior,llm
8,customer_chatbot,0.7,"""Daily Banker"" AI agents simplifying payments and daily banking",llm
13,customer_chatbot,0.5,genAI client experience,llm
14,code_copilot,0.85,"convert legacy Java programs at 98% accuracy, automating repetitive dev tasks",llm
15,internal_copilot,0.5,AI assistant deployed in investments division,llm
17,personalization,0.4,consumer demographics & behavior,llm
21,internal_copilot,0.8,"Generative AI corporate tool (Azure OpenAI) supporting 100,000+ employees",llm
24,predictive_maintenance,0.85,predictive failure anticipation,llm
25,predictive_maintenance,0.85,predictive-maintenance model for sugarcane harvesters,llm
25,precision_agriculture,0.5,AI for agri monitoring,llm
28,computer_vision,0.5,vehicle-flow cameras,llm
29,algo_trading,0.5,free-market energy trading,llm
30,computer_vision,0.5,250+ drones + AI monitoring generation/transmission assets,llm
35,internal_copilot,0.4,In-house GenAI tool used end-to-end in product innovation process,llm
39,marketing_content,0.4,AI analyst video avatars using OpenAI + Synthesia,llm
48,drug_discovery,0.75,identify synthetic routes for novel APIs,llm
49,internal_copilot,0.5,AI network operations assistant built on Amazon Bedrock,llm
51,customer_chatbot,0.7,Enterprise agentic AI for customer support & sales,llm
57,inventory_supplychain,0.8,"AI predictive logistics integrating vessel positions, weather, port congestion",llm
58,customer_chatbot,0.5,generative AI platform for CX,llm
59,customer_chatbot,0.45,customer email classification & routing,llm
61,computer_vision,0.75,AI auto-framing & speaker tracking,llm
65,own_llm,0.6,self-built 10B-param financial LLM,llm
65,document_ocr,0.5,AI reimbursement processing (1.138M paperless reports/yr),llm
70,autonomous_ops,0.7,AI+5G full-automation drilling/loading/transport,llm
71,algo_trading,0.5,accelerate strategy development; AI across research & risk management,llm
73,own_llm,0.8,Self-controlled billion-parameter LLM deployed across 30+ domains,llm
75,own_llm,0.75,"Self-developed ""妙想"" (Miaoxiang) financial LLM",llm
77,medical_diagnostics,0.7,critical-care medical LLM,llm
77,own_llm,0.6,"""启元/Qiyuan"" critical-care medical LLM",llm
79,own_llm,0.7,Billion-parameter financial LLM matrix,llm
79,algo_trading,0.4,AI investment-research generation,llm
80,autonomous_ops,0.6,deployed at Ningbo chlor-alkali 650kt caustic-soda plant for autonomous optimization,llm
80,own_llm,0.5,materials LLM w/ Peking Univ,llm
87,quality_inspection,0.4,AI digital detection,llm
89,autonomous_ops,0.65,remote coal extraction,llm
89,own_llm,0.5,coal-industry LLM,llm
90,digital_twin,0.6,2D/3D digital model,llm
90,predictive_maintenance,0.6,PHM bridge health monitoring,llm
92,autonomous_ops,0.4,AI real-time fermentation control system,llm
95,precision_agriculture,0.8,"pig-production stages (smart feeding, disease detection)",llm
98,own_llm,0.7,"""昆仑""(Kunlun) 300-billion-parameter energy LLM",llm
98,autonomous_ops,0.5,refining process-optimization models,llm
101,internal_copilot,0.6,400+ intelligent assistants,llm
101,own_llm,0.5,"""BOCAI"" large-model capability platform",llm
106,own_llm,0.65,"""HomeGPT"" vertical domain LLM",llm
