row_id,vendor,vendor_type,source_phrase,method
0,(in-house),inhouse,"Projeto Bahia"" proprietary AI monitors 70,000+",regex
4,Microsoft,platform,tive AI + NiCE Copilot for relationsh,regex
6,Microsoft Azure,cloud,l assistant on Azure generative AI,regex
6,IBM,platform,; started with IBM Watson in 2016,regex
15,OpenAI,model,n; group-level OpenAI collaboration,regex
16,Amazon AWS,cloud,the MULTI app (AWS case),regex
18,Google,model,"nIAl"" + Google Gemini covering 4 of",regex
18,(in-house),inhouse,"85% of cases; proprietary GenAI ""GenIAl"" + Go",regex
21,OpenAI,model,te tool (Azure OpenAI) supporting 10,regex
21,Microsoft Azure,cloud,orporate tool (Azure OpenAI) suppor,regex
23,(in-house),inhouse,Proprietary AI tool to identify,regex
26,OpenAI,model,"""UGPT"" custom GPT tool for proce",regex
33,NVIDIA,platform,"very on 3,500+ NVIDIA Blackwell GPUs",regex
34,NVIDIA,platform,lopment (Roche/NVIDIA joint),regex
35,(in-house),inhouse,In-house GenAI tool used end,regex
39,OpenAI,model,avatars using OpenAI + Synthesia to,regex
45,C3.ai,platform,C3 AI Reliability pr,regex
47,OpenAI,model,sistant (Azure OpenAI) giving underw,regex
47,Microsoft Azure,cloud,ing assistant (Azure OpenAI) giving,regex
49,Amazon AWS,cloud,disclosure via AWS,regex
51,Amazon AWS,cloud,sales (Amazon Bedrock AgentCore),regex
63,(in-house),inhouse,"All"" strategy; self-developed vertical LLMs for u",regex
66,(in-house),inhouse,Proprietary home-appliance LLM;,regex
70,DeepSeek,model,nt integrating DeepSeek,regex
72,DeepSeek,model,DeepSeek-R1 LLM deploye,regex
74,OpenAI,model,"""YILI-GPT"" dairy-industr",regex
74,Alibaba Cloud,cloud,AI agent with Alibaba Cloud Tongyi,regex
75,(in-house),inhouse,"Self-developed ""妙想"" (Miaoxiang) fi",regex
82,DeepSeek,model,e LLM w/ local DeepSeek deployment; 62,regex
82,(in-house),inhouse,(Smart Xiaosu) in-house LLM w/ local DeepSe,regex
86,DeepSeek,model,ion/training); DeepSeek+Guanlan integr,regex
91,DeepSeek,model,orm; localized DeepSeek; first oil/pet,regex
99,(in-house),inhouse,Self-developed AI QC system (deep-,regex
101,DeepSeek,model,ted scenarios; DeepSeek R1 integration,regex
106,(in-house),inhouse,"al domain LLM; self-developed ""AI Eye"" multimodal",regex
115,DeepSeek,model,obally); local DeepSeek reasoning depl,regex
116,DeepSeek,model,large model + DeepSeek integration vi,regex
117,DeepSeek,model,"aige) model on DeepSeek-R1; ""智海·图灵"" ma",regex
118,Baidu,model,ation 24h→10s (Baidu Cloud); 5 typi,regex
124,DeepSeek,model,Poly Property) DeepSeek-integrated ene,regex
127,(in-house),inhouse,"Self-developed ""同业存单AI机器人"" (interb",regex
141,DeepSeek,model,"s, 3,600+ RPA, DeepSeek R1",regex
143,DeepSeek,model,Dual-engine DeepSeek-R1-671B + Qwen,regex
146,(in-house),inhouse,Proprietary data platform (clie,regex
148,Tencent Cloud,cloud,"660,000 kWh); Tencent Cloud AI upgrading 6",regex
149,IBM,platform,rprise AI arm; Watsons omnichannel d,regex
154,(in-house),inhouse,"o in CSI300) — own LLM, AI visual inspecti",regex
161,SAP,platform,ty inspection; SAP private-cloud,regex
166,Microsoft,platform,cs platform on Microsoft Azure,regex
166,Microsoft Azure,cloud,m on Microsoft Azure,regex
169,NVIDIA,platform,digital-twin; NVIDIA BioNeMo AI (pr,regex
169,Tencent Cloud,cloud,ody projects); Tencent Cloud AI middle plat,regex
171,OpenAI,model,"""MENGNIU.GPT"" (claimed worl",regex
174,DeepSeek,model,"I辅助系统, ""紫金方舟"", DeepSeek assistant",regex
180,OpenAI,model,"ne 3.0""; Azure OpenAI GenAI; AI cust",regex
180,Microsoft Azure,cloud,"t Engine 3.0""; Azure OpenAI GenAI;",regex
182,Mistral AI,model,al production; Mistral AI partnership,regex
183,Anthropic,model,aims handling; Anthropic global partner,regex
188,Salesforce,platform,agents on its Salesforce platform to im,regex
190,Microsoft,platform,lication (with Microsoft) to read & ana,regex
192,Google Cloud,cloud,"dbLumina"" with Google Cloud, run controlle",regex
195,IBM,platform,extended with IBM Watson 2018) a,regex
212,Microsoft,platform,"ve AI (""Joule"" copilot) embedded acro",regex
212,SAP,platform,mbedded across SAP business softw,regex
214,Microsoft,platform,"results; ""nine copilots"" for industry",regex
217,(in-house),inhouse,ct claims from proprietary data,regex
223,Microsoft,platform,Microsoft Copilot deploy,regex
227,OpenAI,model,ot); strategic OpenAI alliance,regex
228,Microsoft,platform,"rst"" strategy: Microsoft 365 Copilot de",regex
235,Google Cloud,cloud,Google Cloud AI & LLMs depl,regex
238,Microsoft,platform,ssionals using Microsoft 365 Copilot &,regex
242,Amazon AWS,cloud,Strategic AWS collaboration,regex
243,IBM,platform,t center (with IBM Consulting); g,regex
246,Accenture,integrator,Division (with Accenture),regex
248,IBM,platform,nking domains; IBM partnership to,regex
249,OpenAI,model,ts initially); OpenAI partnership,regex
251,NVIDIA,platform,etection (with Nvidia & Tech Mahindr,regex
252,NVIDIA,platform,"g"" model (with NVIDIA & Deloitte), p",regex
252,Deloitte,integrator,"(with NVIDIA & Deloitte), part of 2025",regex
253,Amazon AWS,cloud,ce platform on AWS Connect across,regex
253,Deloitte,integrator,ountries (with Deloitte),regex
258,Salesforce,platform,"assistants in Salesforce CRM (pilots),",regex
260,Amazon AWS,cloud,aboration with AWS to drive indus,regex
263,OpenAI,model,GPT) built on OpenAI tools for empl,regex
266,Mistral AI,model,rtnership with Mistral AI (renewed 3,regex
267,Microsoft,platform,"-2026); 10,000 Copilot licenses, 6,00",regex
268,Amazon AWS,cloud,"ing powered by AWS ""AIRI"" multi-a",regex
269,Amazon AWS,cloud,teel quality); AWS partnership to,regex
275,Mistral AI,model,rtnership with Mistral AI to accelera,regex
277,Microsoft,platform,Multi-year Microsoft partnership to,regex
278,OpenAI,model,Three OpenAI/ChatGPT-based,regex
282,Microsoft,platform,Multi-year Microsoft partnership to,regex
283,NVIDIA,platform,rtnership with NVIDIA for a shared i,regex
288,Meta,model,Meta / Oakley Meta AI smart glasses,regex
292,OpenAI,model,"T ""Madeline"" — ChatGPT-powered virtua",regex
294,NVIDIA,platform,Strategic NVIDIA partnership fo,regex
297,Meta,model,Meta AI Glasses - AI-p,regex
298,OpenAI,model,"built on Azure OpenAI, personalized",regex
298,Microsoft,platform,disclosure via Microsoft case),regex
298,Microsoft Azure,cloud,"agent built on Azure OpenAI, person",regex
299,OpenAI,model,aboration with OpenAI to transform b,regex
300,NVIDIA,platform,NVIDIA AI Enterprise,regex
301,IBM,platform,IBM partnership to,regex
303,OpenAI,model,efact on Azure OpenAI) — Elia provid,regex
303,Microsoft,platform,disclosure via Microsoft case),regex
303,Microsoft Azure,cloud,th Artefact on Azure OpenAI) — Elia,regex
305,OpenAI,model,"emini/Imagen + OpenAI GPT, Google Cl",regex
305,Google,model,uilt on Google Gemini/Imagen + OpenA,regex
