company,country,vertical,raw_sector,horizontal,use_case,existence,value_claimed,tier,source_url,date
Hermès,FR,Retail & E-commerce,Consumer Cyclical,Back-office / Ops,AI Governance Committee established to oversee AI use across IT supply chain and internal reporting,CONFIRMED,none,I,https://cpp-luxury.com/hermes-to-establish-an-artificial-intelligence-governance-committee/,2025
ADP,FR,Travel & Hospitality,Airport Operators / Transport Infrastructure,Core / Domain,Computer vision technology tested across airport camera networks for smart airport operations,CONFIRMED,none,P,https://essentiel.groupe-adp.com/en/at-the-heart-of-innovation-in-our-airports-in-2024,2024
Air France-KLM,FR,Travel & Hospitality,Airlines,Back-office / Ops,Gen AI Factory built with Google Cloud and Accenture to industrialize generative AI across operations,CONFIRMED,none,P,https://corporate.airfrance.com/fr/actualites/air-france-et-lintelligence-artificielle-ia,2025
Alstom,FR,Manufacturing & Robotics,Rail Transport Equipment,Core / Domain,AI-based predictive maintenance and real-time obstacle detection for rail mobility,CONFIRMED,none,P,https://www.alstom.com/artificial-intelligence-future-rail-mobility,2025
Alten,FR,Technology,IT / Engineering Consulting,Core / Domain,A3 AI program integrating AI into engineering projects and processes plus Mistral AI partnership,CONFIRMED,none,P,https://www.alten.com/services/artificial-intelligence/,2025
Amundi,FR,Financial Services,Asset Management,Core / Domain,Generative AI integrated into ALTO software suite for RFPs compliance and investment research,CONFIRMED,none,I,https://www.larevuedudigital.com/amundi-gerant-dactifs-financiers-allege-ses-taches-rebarbatives-lia-generative/,2025
Arkema,FR,Manufacturing & Robotics,Specialty Chemicals,Core / Domain,AI algorithms to predict molecular and polymer behavior in R&D before experimental phases,CONFIRMED,none,P,https://www.arkema.com/files/live/sites/shared_arkema/files/downloads/corporate-documentations/Rapports%20annuels%20-%20FR/2024-arkema-rapport-annuel.pdf,2024
Atos,FR,Technology,IT Services,Software / Code,Polaris AI autonomous agents and MogwAI generative-agentic AI platform for enterprise automation,CONFIRMED,none,P,https://atos.net/en/services/data-and-ai/ai-services,2026
Bénéteau,FR,Manufacturing & Robotics,Recreational Boats / Consumer Goods,Core / Domain,Seanapps connected-boat app with 10000 boats using AI plus Coroma autonomous production robotics,CLAIMED,none,I,https://figaronautisme.meteoconsult.fr/actus-nautisme-bateaux/2024-09-11/72304-groupe-beneteau-le-plein-de-nouveautes-et-le-regard-tourne-vers-l-avenir,2024
Bic,FR,Manufacturing & Robotics,Consumer Goods,Core / Domain,Computer vision to detect lighter defects and AI/ML with Iprova Invention Lab to accelerate product innovation,CONFIRMED,none,I,https://www.larevuedudigital.com/bic-industrialise-la-detection-des-bonnes-idees-grace-a-la-data/,2024
Biomérieux,FR,Healthcare & Life Sciences,Medical Diagnostics / Healthcare,Core / Domain,AI partnership with Mila for diagnostics and FDA-authorized AI respiratory test detecting five pathogens,CONFIRMED,none,P,https://www.biomerieux.com/corp/en/who-we-are/company-news/biomerieux-partnership-mila-artificial-intelligence-diagnostics.html,2025
Bolloré,FR,Logistics & Supply Chain,Transport & Logistics / Holding,Core / Domain,AI plus IoT container tracking via Next4 partnership transmitting data to a machine learning platform,CLAIMED,none,I,https://www.alliancy.fr/bollore-transport-and-logistics-combine-ia-et-iot-pour-suivre-les-conteneurs-4ea2d784-809e-4445-a8b9-d7797972620d,2019
Carmila,FR,Real Estate & Construction,Real Estate (Retail REIT),Customer Support,Holly AI-powered virtual shopping assistant launched at Cité Europe shopping centre,CONFIRMED,none,I,https://pointsdevente.fr/fil-info/2024-12-05-carmila-lance-holly-le-premier-assistant-virtuel-intelligent/,2024-12
Clariane,FR,Healthcare & Life Sciences,Healthcare / Elderly Care,Core / Domain,Voice-based AI assistant enabling caregivers to input care data by speech instead of manual entry,CONFIRMED,none,P,https://www.clariane.com/le-groupe/innovation/l-innovation-technologique,2024
Coface,FR,Insurance,Credit Insurance,Core / Domain,Coface Score AI-powered solvency scoring combining machine learning with credit risk expertise,CONFIRMED,none,P,https://www.coface.com/fr/actualites-economie-conseils-d-experts/data-technologie-de-la-smart-data-a-des-solutions-predictives-de-gestion-des-risques,2023
Dassault Aviation,FR,Manufacturing & Robotics,Aerospace & Defense,Core / Domain,Partnership with Thales cortAIx to develop controlled supervised AI for Rafale F5 and combat drones,CONFIRMED,none,P,https://www.thalesgroup.com/fr/actualites-du-groupe/communiques-de-presse/dassault-aviation-et-cortaix-signent-un-partenariat,2024-11
