pattern_id,name,description,horizontal,keywords
customer_chatbot,Customer chatbot / virtual assistant,Conversational AI answering customer queries,Customer Support,"chatbot|virtual assistant|customer assistant|conversational|digital assistant|ai assistant for customer"
internal_copilot,Internal employee copilot,GenAI copilot / assistant for staff productivity,Back-office / Ops,"copilot|employee assistant|internal assistant|staff assistant|productivity assistant|microsoft 365|m365"
genai_search_knowledge,Enterprise search & knowledge,GenAI search over internal knowledge / RAG,Software / Code,"knowledge|rag|enterprise search|semantic search|document search|knowledge base"
voice_assistant,Voice assistant / voicebot,Speech-driven assistant or call automation,Customer Support,"voicebot|voice assistant|voice bot|speech recognition|voice ai|ivr"
call_center_ai,Call-center automation,AI handling / assisting contact-center agents,Customer Support,"call center|call centre|contact center|contact centre|agent assist"
fraud_detection,Fraud detection,ML detecting fraudulent transactions/activity,Security / Risk,"fraud|anti-fraud|fraudulent"
aml_kyc,AML / KYC compliance,AI for anti-money-laundering / know-your-customer,Security / Risk,"aml|kyc|money laundering|compliance monitoring|sanction"
credit_risk,Credit scoring & risk,ML for credit decisions / risk models,Core / Domain,"credit scoring|credit risk|credit decision|loan approval|underwriting model|risk model"
claims_automation,Claims automation,AI automating insurance claims processing,Core / Domain,"claims|claim processing|claims automation|claim assessment"
underwriting_ai,Underwriting AI,AI assisting/automating underwriting,Core / Domain,"underwriting|underwrite"
algo_trading,Algorithmic trading / markets,AI for trading, market surveillance, execution,Core / Domain,"trading|market surveillance|algorithmic|quant|trade execution"
predictive_maintenance,Predictive maintenance,ML predicting equipment failure,Core / Domain,"predictive maintenance|condition monitoring|equipment failure|asset health"
quality_inspection,Visual quality inspection,Computer vision for defect/quality detection,Core / Domain,"defect|quality inspection|visual inspection|quality control|inspection ai"
autonomous_ops,Autonomous operations / robotics,Autonomous vehicles, mining, factory robots,Core / Domain,"autonomous|self-driving|autonomous haul|automine|autonomous truck|driverless"
hands_free_driving,Advanced driver assistance / ADAS,Self-driving & driver-assist for vehicles,Core / Domain,"adas|driver assist|hands-free driving|autopilot|bluecruise|full self"
robotics_automation,Robotics & physical automation,Physical robots / humanoid / automation lines,Core / Domain,"robot|humanoid|cobold|robotic|automation line"
demand_forecasting,Demand forecasting,ML forecasting demand / sales / load,Back-office / Ops,"demand forecast|forecasting|sales forecast|load forecast|demand planning"
inventory_supplychain,Inventory & supply-chain AI,AI optimizing inventory / logistics / supply chain,Back-office / Ops,"supply chain|inventory|logistics optimization|route optimization|warehouse"
personalization,Personalization & recommendation,Recommender systems / personalized offers,Sales / Marketing,"personaliz|recommendation|recommender|personalized offer|next best"
marketing_content,Marketing content generation,GenAI for marketing / advertising / content,Sales / Marketing,"marketing|advertis|content generation|campaign|creative generation|ad copy"
pricing_ai,Dynamic pricing / revenue,AI for pricing & revenue optimization,Core / Domain,"dynamic pricing|price optimization|revenue management|yield management"
drug_discovery,AI drug discovery,ML for pharma R&D / molecule discovery,Core / Domain,"drug discovery|molecule|drug design|de novo|compound screening"
medical_diagnostics,Medical diagnostics & imaging,AI for radiology / diagnosis / clinical imaging,Core / Domain,"radiolog|diagnos|medical imaging|clinical ai|pathology|lesion"
document_ocr,Document processing / OCR,AI extracting/processing documents,Back-office / Ops,"ocr|document processing|document ai|invoice processing|form extraction|idp"
code_copilot,Software development AI,AI for coding / software engineering,Software / Code,"code|coding|software development|github copilot|developer productivity|code generation"
digital_twin,Digital twin & simulation,AI-driven digital twins / simulation,Core / Domain,"digital twin|simulation model|virtual replica"
computer_vision,Computer vision (general),Image/video understanding beyond inspection,Core / Domain,"computer vision|image recognition|video analytics|object detection|facial"
grid_energy_optimization,Grid / energy optimization,AI optimizing energy generation/grid/assets,Core / Domain,"grid optimization|energy optimization|wind|solar|turbine|power optimization|renewables ai"
churn_retention,Churn & retention,ML predicting churn / retention,Sales / Marketing,"churn|retention model|customer attrition"
sentiment_analytics,Sentiment & text analytics,NLP for sentiment / feedback / social,Sales / Marketing,"sentiment|text analytics|social listening|feedback analysis"
sovereign_ai_infra,Sovereign AI / infra,Building AI infrastructure / sovereign LLM / data centers,Technology,"sovereign|data center|supercomputer|llm cloud|ai factory|gpu|foundation model"
own_llm,Proprietary LLM / GenAI platform,Company building its own LLM / GenAI platform,Technology,"proprietary llm|own llm|genai platform|gpt platform|in-house model|large model"
translation_language,Translation & language,Machine translation / multilingual AI,Back-office / Ops,"translation|multilingual|language model translation"
precision_agriculture,Precision agriculture,AI for farming / crop / livestock,Core / Domain,"precision agri|crop|farming ai|fertigation|livestock|agronomy"
