company,country,vertical,raw_sector,horizontal,use_case,existence,value_claimed,tier,source_url,date
Nippon Telegraph & Telephone Corp.,JP,,,Core / Domain,"tsuzumi 2, NTT's next-generation lightweight Japanese enterprise LLM that runs on a single GPU on-premises/private cloud, with enhanced financial, medical and public-sector domain knowledge and RAG/fine-tuning support. Adopted by Tokyo Online University for course Q&A, teaching-material and exam creation. [NTT (tsuzumi 2, proprietary)]",confirmed,world-top results among comparable-size models in Japanese; internal financial-inquiry evaluation matched or exceeded leading external models,,https://group.ntt/en/newsrelease/2025/10/20/251020a.html,2025-10
Nippon Telegraph & Telephone Corp.,JP,,,Core / Domain,"DOCOMO commercial agentic AI system for mobile-network maintenance that analyzes real-time traffic and alarm data from over one million network devices, detects anomalies, identifies suspected failure points and recommends remediation to maintenance engineers. [AWS (Amazon Bedrock AgentCore)]",confirmed,reduces response time for complex network failures by more than 50%,,https://en.acnnewswire.com/press-release/english/105304/docomo-begins-commercial-deployment-of-agentic-ai-system-for-network-maintenance-using-one-of-the-world's-largest-datasets,2026-02
Nippon Telegraph & Telephone Corp.,JP,,,Customer Support,"NTT DOCOMO generative-AI apps built on Allganize's Alli LLM App Market: an app that auto-generates Q&A pairs from Docomo Shop staff/Support Center chat logs and manuals, plus a RAG app for internal administrative-department inquiries in regional offices. [Allganize (Alli LLM App Market)]",confirmed,Q&A creation time reduced ~10 hours per month; 30% improvement in answer accuracy via retriever optimization,,https://www.allganize.ai/en/blog/case-study-ntt-docomo-leveraging-the-alli-llm-app-market-to-enhance-operational-efficiency-with-generative-ai,2024
Nippon Telegraph & Telephone Corp.,JP,,,Back-office / Ops,"NTT DATA internal enterprise AI agents letting employees query real-time data in natural language: HR workforce/chargeability analysis, back-office KPI monitoring, and a sales coach that preps reps, drafts proposals and generates client insights. [Microsoft (Fabric data agents, Azure AI Agent Service)]",confirmed,50% faster time to market for solution development,,https://www.microsoft.com/en/customers/story/23654-ntt-data-azure-ai-agent-service,2025
Nippon Telegraph & Telephone Corp.,JP,,,Software / Code,"NTT DATA AI-powered incident/change-management solution that ingests thousands of daily change-log entries via a ReactJS UI, performs risk prediction and generates remediation guidance using vector similarity search and an LLM. [Lyzr AI agents; GPT-4o-mini; Qdrant; Okta; Azure Cosmos DB]",confirmed,"70,000+ hours saved",,https://www.lyzr.ai/case-studies/ntt-data/,2025
Nippon Telegraph & Telephone Corp.,JP,,,Software / Code,"NTT DATA enterprise-wide rollout of OpenAI Codex for coding and non-technical tasks, including system fault analysis; supported by an internal OpenAI Excellence Center and security guidelines. [OpenAI (Codex, ChatGPT Enterprise)]",confirmed,"cut a 5-engineer/3-day fault analysis to 30 minutes; ~9,000 employees using it; 95% reported productivity improvement; 1.4x weekly active users after training",,https://news.aibase.com/news/29832,2026
Nippon Telegraph & Telephone Corp.,JP,,,Sales / Marketing,"NTT and NTT DOCOMO's jointly developed Large Action Model (LAM), a Transformer specialized for time-series behavioral data, deployed in DOCOMO telemarketing to predict customer intent (4W1H) for personalized 1-to-1 marketing of mobile and smart-life services. [NTT / NTT DOCOMO (proprietary LAM)]",confirmed,telemarketing order rates improved up to 2x; model trained in 145 GPU hours (~1/568th cost of Llama-1 7B),,https://group.ntt/en/newsrelease/2025/11/12/251112a.html,2025-11
Nippon Telegraph & Telephone Corp.,JP,,,Security / Risk,"NTT DATA AI-powered Cyber Defense Centers providing 24x7 unified threat monitoring with agentic AI that autonomously triages, analyzes and hunts incidents; four centers operational in India (Bengaluru, Hyderabad, Noida, Mumbai) with more planned. [NTT DATA (agentic AI SOC; unnamed platform partners)]",confirmed,"up to 90% alert reduction; up to 60% faster mean time to detect/respond; supports 800+ analysts and 1,200+ clients",,https://uk.nttdata.com/news/2025/ntt-data-ai-cyber-defense-centers-launch,2025
Nippon Telegraph & Telephone Corp.,JP,,,Customer Support,"NTT DOCOMO Communication AI for automated customer service that matches customer speech rate, tailors recommendations from behavioral/attribute data, and uses question-in-return technology to clarify ambiguous inquiries; tested at chat support desk. [NTT DOCOMO (Speech DX Platform, docomo Sense)]",claimed,purpose-identification accuracy improved from 66.80% to 82.18% on 247 real inquiries (PoC),,https://www.docomo.ne.jp/english/corporate/technology/rd/technical_journal/bn/vol26_4/002.html,2024
Nippon Telegraph & Telephone Corp.,JP,,,Security / Risk,"NTT DATA and NTT DOCOMO Business Cyber Risk Response Service using frontier AI for end-to-end vulnerability management: threat/vulnerability detection, AI impact assessment, risk prioritization by asset criticality, and remediation strategy/execution. [NTT DATA / NTT DOCOMO Business (multiple frontier AI providers)]",claimed,none,,https://finance.biggo.com/news/ir_9613.T_20260707_d3af06e82923,2026-07
