company,country,vertical,raw_sector,horizontal,use_case,existence,value_claimed,tier,source_url,date
ALLOS,BR,Real Estate & Construction,Real estate/shopping malls,Retail Analytics,"""Projeto Bahia"" proprietary AI monitors 70,000+ stores & 20,000 brands across 58 malls; ""Store Insights"" data product for retailer decisions | CONFIRMED",none,P,,https://valor.globo.com / https://allos.com.br,missing
B3,BR,Financial Services,Financial exchange,Financial Services,"BridgeWise-powered free AI platform evaluating ~36,000 stocks across 110 exchanges (280+ fundamental indicators) with buy/sell recommendations | CONFIRMED",none,P,,https://www.b3.com.br,missing
B3,BR,Financial Services,Financial exchange,Customer Support,"""Digital Coach"" autonomous AI agent monitors/analyzes call center conversations to flag communication failures; expanding AI agents across products in 2025 | CONFIRMED",none,P,,https://www.b3.com.br / https://investidor10.com.br,2025
Banco do Brasil,BR,Financial Services,Banking,Financial Services,800+ AI models and agents in operation across agribusiness/retail; grew AI solutions 130% in 3 years,CONFIRMED,800+ models/agents; +130% in 3yr,P,https://tiinside.com.br,missing
Banco do Brasil,BR,Financial Services,Banking,Customer Support,AI agents alongside managers for 88M clients; ARI conversational AI; generative AI + NiCE Copilot for relationship staff; INSS password resets for 4M+ customers,CONFIRMED,88M clients,P,https://www.bb.com.br / https://epocanegocios.globo.com,missing
BB Seguridade,BR,Insurance,Insurance,Insurance/Claims,"Brasilseg (BB Seguros) ""Voz do Cliente"" AI-based automated claims (sinistro) analysis solution, award-recognized company case | CONFIRMED",none,P,,https://revistaseguradorbrasil.com.br,missing
Bradesco,BR,Financial Services,Banking,Customer Support,"BIA virtual assistant on Azure generative AI resolves 80-90% of first-level demands across 25M+ interactions; started with IBM Watson in 2016, now genAI; 8x usage growth",CONFIRMED,"~87% resolution, 25M interactions, 8x adoption",P,https://microsoft.com / https://tiinside.com.br,2016
BTG Pactual,BR,Financial Services,Investment bank,Financial Services,"""Minhas Finanças"" AI tool analyzes 3-month spending behavior + Open Finance data to detect spending patterns and automate expense organization | CONFIRMED",none,P,,https://exame.com / https://valor.globo.com,missing
BTG Pactual,BR,Financial Services,Investment bank,Customer Support,"WhatsApp-integrated ""Daily Banker"" AI agents simplifying payments and daily banking | CONFIRMED",none,P,,https://febrabantech.febraban.org.br,missing
Caixa Seguridade,BR,Insurance,Insurance,Customer Support,"Superapp unifying 15 systems with ""AI integration""; vague, no named use case or metric | CLAIMED",none,I,,https://ativovirtual.com.br,missing
Iguatemi,BR,Real Estate & Construction,Real estate/shopping malls,Retail Analytics,"Iguatemi One loyalty program uses ""inteligência de dados"" for personalization; exec cites generative AI for customer experience but no named AI deployment/metric | CLAIMED",none,I,,https://prnewswire.com/br / https://iguatemi.com.br,missing
IRB(Re),BR,Insurance,Reinsurance,Financial Services,"""IRB+Inteligência"" company-built platform for dynamic queries of market/Susep data; framed as intelligence tool, AI specifics unclear; underwriting-AI mentions generic | CLAIMED",none,I,,https://www.irbre.com/inteligencia/,missing
Itaúsa,BR,Financial Services,Investment holding,Internal Ops,"Internal AI-literacy ""immersion"" program for employees + integrated-report language on ethical AI adoption; no deployed use case | CLAIMED",none,I,,https://d3q3127qzzrohu.cloudfront.net (Itaúsa Integrated Report 2024),2024
Itaú Unibanco,BR,Financial Services,Banking,Financial Services,"150 generative AI solutions in production + 750+ cases in development; ""Inteligência Itaú"" genAI client experience; ""Inteligência de Investimentos"" AI expanded to 100,000 clients",CONFIRMED,"150 in prod, 750+ in dev, 100k clients",P,https://tiinside.com.br / https://itau.com.br,missing
Santander Brasil,BR,Financial Services,Banking,Software Engineering,"F1RST tech unit uses GenAI to convert legacy Java programs at 98% accuracy, automating repetitive dev tasks; ""AI as a junior engineer""",CONFIRMED,98% conversion accuracy,P,https://tiinside.com.br,missing
Santander Brasil,BR,Financial Services,Banking,Financial Services,"AI assistant deployed in investments division; group-level OpenAI collaboration to become ""AI-driven bank"" (EUR1bn AI target to 2028) | CONFIRMED",none,P,,https://publicnow.com / https://valor.globo.com,2028
Multiplan,BR,Real Estate & Construction,Real estate/shopping malls,Customer Support,Generative AI chatbot deployed in production in the MULTI app (AWS case) | CONFIRMED,none,P,,https://aws.amazon.com,missing
Multiplan,BR,Real Estate & Construction,Real estate/shopping malls,Retail Analytics,"""Conheça seus Clientes""/""Canal Lojista"" data-intelligence tools giving retailers consumer demographics & behavior | CONFIRMED",none,P,,https://oglobo.com.br / https://sindishopping.com.br,missing
Porto,BR,Insurance,Insurance,Insurance/Claims,"Claims analysis auto-released in 85% of cases; proprietary GenAI ""GenIAl"" + Google Gemini covering 4 of 7 major claims processes; AI vehicle inspection",CONFIRMED,"85% auto-released, -29% contacts",P,https://letsmoney.com.br / SINDSEGSC,missing
Brava Energia,BR,Energy & Utilities,Oil & gas,Industrial Operations,"Integrated Operations Center (COI) with remote monitoring, predictive maintenance, AI solutions & drone surveillance 24/7; AI/analytics for procurement | CONFIRMED",none,P,,https://esginside.com.br,missing
Cosan,BR,Industrial / Machinery,Energy/agribusiness conglomerate,Industrial Operations,"AI-based ""Circulation Optimizer"" coordinating train crossings (rail ops) for control agility/safety; AI cloud-security for alert mgmt & risk prioritization | CONFIRMED",none,P,,https://exame.com / SecurityLeaders,missing
