row_id,pattern_id,confidence,source_phrase,method
1,personalization,0.9,tors) with buy/sell recommendations,regex
2,call_center_ai,0.9,t monitors/analyzes call center conversations to fl,regex
4,customer_chatbot,0.5,or 88M clients; ARI conversational AI; generative AI +,regex
4,internal_copilot,0.5,enerative AI + NiCE Copilot for relationship st,regex
5,claims_automation,0.9,AI-based automated claims (sinistro) analysis,regex
6,customer_chatbot,0.9,BIA virtual assistant on Azure generative,regex
10,personalization,0.9,"ência de dados"" for personalization; exec cites ge",regex
11,underwriting_ai,0.9,specifics unclear; underwriting-AI mentions generic,regex
16,customer_chatbot,0.9,Generative AI chatbot deployed in product,regex
18,claims_automation,0.9,Claims analysis auto-relea,regex
19,predictive_maintenance,0.9,"remote monitoring, predictive maintenance, AI solutions & dro",regex
22,digital_twin,0.9,Digital twins integrated with AI,regex
23,demand_forecasting,0.9,r recovery; ML tool forecasting domestic fuel-marke,regex
26,genai_search_knowledge,0.9,Ultragaz uses sensors + AI,regex
27,inventory_supplychain,0.9,I-driven predictive inventory management reduced,regex
31,drug_discovery,0.9,o R&D to assess new molecules and accelerate cli,regex
32,drug_discovery,0.9,AI drug discovery partnership with Ge,regex
33,drug_discovery,0.5,"AI drug discovery on 3,500+ NVIDIA Bl",regex
33,sovereign_ai_infra,0.5,"0+ NVIDIA Blackwell GPUs (""AI factories"" wi",regex
34,medical_diagnostics,0.9,AI for next-gen diagnostics development (Ro,regex
36,demand_forecasting,0.9,"AI for demand forecasting, stockout predic",regex
37,predictive_maintenance,0.9,"lytics & AI Suite — predictive maintenance, asset performance",regex
38,robotics_automation,0.9,AI-powered robotics/cobots (ABB Robo,regex
40,personalization,0.9,wealth platform for personalized investment insigh,regex
42,demand_forecasting,0.9,AI for demand forecasting & product proven,regex
43,claims_automation,0.9,"GenAI for claims summarization, medi",regex
44,underwriting_ai,0.9,s supporting faster underwriting decisions,regex
45,predictive_maintenance,0.9,C3 AI Reliability predictive maintenance across cement plant,regex
46,computer_vision,0.9,"ocess optimization, computer vision",regex
47,underwriting_ai,0.9,Guide Scout — GenAI underwriting assistant (Azure Op,regex
50,sovereign_ai_infra,0.9,Swiss AI Platform — sovereign commercial AI infra,regex
52,genai_search_knowledge,0.5,Carto — AI fragrance formulation to,regex
52,robotics_automation,0.5,rfumer preferences; robotic device in Givauda,regex
53,medical_diagnostics,0.9,t surgical planning/diagnostics (CE Mark Aug 20,regex
54,genai_search_knowledge,0.9,unlock R&D/product knowledge (Sika disclosure),regex
55,sovereign_ai_infra,0.9,"or Meta's Rosemount data center, ECOPact low-carbon",regex
63,claims_automation,0.5,"erwriting, pricing, claims, operations, health",regex
63,underwriting_ai,0.5,"d vertical LLMs for underwriting, pricing, claims, o",regex
64,quality_inspection,0.9,"AI machine-vision defect detection in ""极限制造/",regex
66,quality_inspection,0.5,e-appliance LLM; AI visual inspection stations in 5G fact,regex
66,inventory_supplychain,0.5,platform; AI-driven supply chain optimization,regex
67,robotics_automation,0.5,"ic mixing, smart 装甑 robots; brewing large mod",regex
67,own_llm,0.5,"装甑 robots; brewing large model + ""AI勾调系统"" (AI blen",regex
68,medical_diagnostics,0.5,rge model for fault diagnosis & O&M; intelligen,regex
68,own_llm,0.5,""" (Dayu) hydropower large model for fault diagnosis",regex
69,robotics_automation,0.9,"小二"" AI bond-trading robot (PBOC fintech 2nd-p",regex
72,inventory_supplychain,0.9,nical decisioning & supply chain; multimodal data mi,regex
74,marketing_content,0.9,ction processes; AI content generation; supply-chain AI ag,regex
76,quality_inspection,0.9,5G+AI visual inspection platform (800 quali,regex
78,hands_free_driving,0.9,"""天神之眼"" (God's Eye) ADAS/intelligent-driving",regex
81,quality_inspection,0.5,LLM; cloud-edge AI defect detection + root-ca,regex
81,sovereign_ai_infra,0.5,"""AI工厂"" (AI Factory) core apps deployed",regex
82,code_copilot,0.9,"ion reconciliation, code completion",regex
83,predictive_maintenance,0.5,"air recommendation, predictive maintenance, automated repair (",regex
83,personalization,0.5,"intelligent repair recommendation, predictive mainten",regex
84,code_copilot,0.9,"w/ intelligent Q&A, code generation; registe",regex
85,fraud_detection,0.9,office; AI in risk/fraud & customer service,regex
86,own_llm,0.9,"""观澜""(Guanlan) large model system (foundation→",regex
88,quality_inspection,0.9,"rst full-process AI quality inspection; Jiaxing PV ""lighth",regex
91,own_llm,0.9,"""长城""(Great Wall) large model (100k+ users, 6k+ d",regex
93,own_llm,0.9,arameter multimodal large model (Sep 2024); AI in d,regex
