company,country,vertical,raw_sector,horizontal,use_case,existence,value_claimed,tier,source_url,date
Kweichow Moutai,CN,Retail & E-commerce,Consumer Staples,Core / Domain,Machine-learning system to decode traditional Moutai brewing/fermentation into scientific parameters,CONFIRMED,none,P,https://www.moutaichina.com/mtgf/2025-10/10/article_2025101009063173047.html,2021
Kweichow Moutai,CN,Retail & E-commerce,Consumer Staples,Back-office / Ops,DeepSeek and SenseTime large-model training program for dealers and regional staff,CONFIRMED,none,P,https://www.moutai.com.cn/mtjt/2025-06/07/article_2025060700103885516.html,2025-05
CATL (Contemporary Amperex Technology),CN,Manufacturing & Robotics,Industrials,Core / Domain,AI-driven battery cell design and optimization (MINDS at WEF),CONFIRMED,95% prediction accuracy,P,https://www.catl.com/news/9556.html,2025-01
CATL (Contemporary Amperex Technology),CN,Manufacturing & Robotics,Industrials,Core / Domain,Cloud-edge-end AI surface defect detection in battery production,CLAIMED,none,I,https://www.intel.cn/content/www/cn/zh/artificial-intelligence/catl-cloud-edge-end-defect-detection-solution.html,missing
CATL (Contemporary Amperex Technology),CN,Manufacturing & Robotics,Industrials,Core / Domain,AI materials discovery for next-gen battery chemistries,CLAIMED,material screening time cut 100x,I,https://evchuhai.com/news/catl-ai-battery-research-breakthrough,missing
Wuliangye Yibin,CN,Retail & E-commerce,Consumer Staples,Core / Domain,Intelligent brewing workshop with smart fermentation and data-driven brewing standards,CONFIRMED,grain consumption reduced,I,https://www.sohu.com/a/955132720_121924584,2021
Inner Mongolia Yili Industrial Group,CN,Retail & E-commerce,Consumer Staples,Core / Domain,Computer vision quality inspection plus AI across pastures/factories/supply chain,CONFIRMED,none,I,https://finance.sina.com.cn,2024
Inner Mongolia Yili Industrial Group,CN,Retail & E-commerce,Consumer Staples,Sales / Marketing,AI agents for consumer insight and content marketing and smart ordering and sales assistance,CONFIRMED,none,I,https://www.sohu.com/a/955132720_121924584,2025-09
Gree Electric Appliances,CN,Manufacturing & Robotics,Consumer Discretionary,Core / Domain,Machine-learning optimization of air-conditioner energy efficiency,CLAIMED,~14% energy efficiency gain,I,https://www.sohu.com/a/856234448_121798711,missing
Gree Electric Appliances,CN,Manufacturing & Robotics,Consumer Discretionary,Core / Domain,AI voice-control air conditioners integrating DeepSeek R1 LLM,CLAIMED,none,I,https://www.toutiao.com/article/7480197108927087113/,2025
Mindray Bio-Medical Electronics,CN,Healthcare & Life Sciences,Health Care,Core / Domain,Qiyuan breast/obstetric/cardiac ultrasound large models for real-time tissue feature detection and measurement,CONFIRMED,none,I,https://finance.sina.com.cn,2025-11
Mindray Bio-Medical Electronics,CN,Healthcare & Life Sciences,Health Care,Core / Domain,Ruiying Cloud++ AI Q&A knowledge assistant for ultrasound doctors using DeepSeek R1,CONFIRMED,none,I,https://finance.sina.com.cn,2025
Luxshare Precision Industry,CN,Manufacturing & Robotics,Information Technology,Core / Domain,AI-powered smart-factory quality control with fault diagnosis and predictive maintenance,CONFIRMED,none,P,https://www.luxshare-ict.com/innovate-technology.html,missing
Shenzhen Inovance Technology,CN,Manufacturing & Robotics,Industrials,Core / Domain,Industrial AI model training platform v1.0 and AI-agent intelligent manufacturing ecosystem,CLAIMED,none,I,https://www.sohu.com/a/927249216_122362510,2024
Hangzhou Hikvision Digital Technology,CN,Technology,Information Technology,Core / Domain,Guanlan multi-modal large model for computer vision/NLP AIoT video perception,CONFIRMED,none,P,https://ai.hikvision.com,2025-04
Longi Green Energy Technology,CN,Manufacturing & Robotics,Information Technology,Core / Domain,Full-process AI quality inspection and machine-vision defect detection with root-cause traceability in PV module production,CONFIRMED,defects identified every 18s across 12 strings,P,https://www.longi.com/cn/news/lifecycle-ai-test/,2024
Beijing-Shanghai High Speed Railway,CN,Logistics & Supply Chain,Industrials,Core / Domain,Digital-twin and AI predictive maintenance/PHM system for track and bridge health monitoring,CLAIMED,none,I,https://www.sohu.com/a/1018317666_121956424,2024
China Petroleum & Chemical Corporation (Sinopec),CN,Energy & Utilities,Energy,Core / Domain,Changcheng (Great Wall) petrochemical large model (MoE up to 7T params) with DeepSeek integration,CONFIRMED,over 10bn tokens/day and 270000+ users,P,https://www.sinopecgroup.com/group/000/000/067/67989.shtml,2025-02
